ABA DE ORIGEM,LINHA,VIATURA ENCONTRADA,TIPO DE SERVIÇO,CONTEÚDO DA LINHA
 MANUTENÇÃO-2025,264,MOB-17102,PNEU,"***** 4417 ***** MOB-17102 ***** 1.FORNECERESUBSTITUIR:KITDERELAÇÃO(COROA/CORRENTE/PINHÃO);
2.FORNECERESUBSTITUIR:JOGODEJUNTASCOMPLETODOMOTOR,INCLUINDOJUNTADOCABEÇOTE;
3.FORNECERESUBSTITUIR:EIXODOCÂMBIO;
4.FORNECERESUBSTITUIR:ÓLEO10W30SEMISINTÉTICO;
5.FORNECERESUBSTITUIR:FILTRODEÓLEO;
6.FORNECERESUBSTITUIR:LÍQUIDODEARREFECIMENTO;
7.FORNECERESUBSTITUIR:FILTRODECOMBUSTÍVELPRIMÁRIO;
8.FORNECERESUBSTITUIR:RETENTORDOPINHÃO;
9.FORNECERESUBSTITUIR:RETENTOREIXODOCÂMBIO;10
10.FORNECERESUBSTITUIR:02PNEUS130/80/17
11.FORNECERESUBSTITUIR:BIELAMOTOR
12.FORNECERESUBSTITUIR:PISTÃOCOMANÉIS0,25
13.FORNECERESUBSTITUIR:RETIFICARCILINDROS
14.FORNECERESUBSTITUIR:RETENTORDEVÁLVULAS
15.FORNECERESUBSTITUIR:RETIFICARCABEÇOTE
16.FORNECERESUBSTITUIR:GUARNIÇÃODATAMPADEVÁLVULA
17.FORNECERESUBSTITUIR:EIXOVIRABREQUIM CORRETIVA ***** R$- CANCELADONANEO VTRSERÁDESCARREGADA"
 MANUTENÇÃO-2025,265,MOB-17104,PNEU,"***** 4418 ***** MOB-17104 ***** 1.FORNECERESUBSTITUIR:KITDERELAÇÃO(COROA/CORRENTE/PINHÃO);
2.FORNECERESUBSTITUIR:JOGODEJUNTASCOMPLETODOMOTOR,INCLUINDOJUNTADOCABEÇOTE;
3.FORNECERESUBSTITUIR:EIXODOCÂMBIO;
4.FORNECERESUBSTITUIR:ÓLEO10W30SEMISINTÉTICO;
5.FORNECERESUBSTITUIR:FILTRODEÓLEO;
6.FORNECERESUBSTITUIR:LÍQUIDODEARREFECIMENTO;
7.FORNECERESUBSTITUIR:FILTRODECOMBUSTÍVELPRIMÁRIO;
8.FORNECERESUBSTITUIR:RETENTORDOPINHÃO;
9.FORNECERESUBSTITUIR:RETENTOREIXODOCÂMBIO;10
10.FORNECERESUBSTITUIR:02PNEUS130/80/17
11.FORNECERESUBSTITUIR:BIELAMOTOR
12.FORNECERESUBSTITUIR:PISTÃOCOMANÉIS0,25
13.FORNECERESUBSTITUIR:RETIFICARCILINDROS
14.FORNECERESUBSTITUIR:RETENTORDEVÁLVULAS
15.FORNECERESUBSTITUIR:RETIFICARCABEÇOTE
16.FORNECERESUBSTITUIR:GUARNIÇÃODATAMPADEVÁLVULA
17.FORNECERESUBSTITUIR:EIXOVIRABREQUIM CORRETIVA ***** R$- CANCELADONANEO VTRSERÁDESCARREGADA"
 MANUTENÇÃO-2025,266,MOB-17105,PNEU,"***** 4419 ***** MOB-17105 ***** 1.FORNECERESUBSTITUIR:KITDERELAÇÃO(COROA/CORRENTE/PINHÃO);
2.FORNECERESUBSTITUIR:JOGODEJUNTASCOMPLETODOMOTOR,INCLUINDOJUNTADOCABEÇOTE;
3.FORNECERESUBSTITUIR:EIXODOCÂMBIO;
4.FORNECERESUBSTITUIR:ÓLEO10W30SEMISINTÉTICO;
5.FORNECERESUBSTITUIR:FILTRODEÓLEO;
6.FORNECERESUBSTITUIR:LÍQUIDODEARREFECIMENTO;
7.FORNECERESUBSTITUIR:FILTRODECOMBUSTÍVELPRIMÁRIO;
8.FORNECERESUBSTITUIR:RETENTORDOPINHÃO;
9.FORNECERESUBSTITUIR:RETENTOREIXODOCÂMBIO;10
10.FORNECERESUBSTITUIR:02PNEUS130/80/17
11.FORNECERESUBSTITUIR:BIELAMOTOR
12.FORNECERESUBSTITUIR:PISTÃOCOMANÉIS0,25
13.FORNECERESUBSTITUIR:RETIFICARCILINDROS
14.FORNECERESUBSTITUIR:RETENTORDEVÁLVULAS
15.FORNECERESUBSTITUIR:RETIFICARCABEÇOTE
16.FORNECERESUBSTITUIR:GUARNIÇÃODATAMPADEVÁLVULA
17.FORNECERESUBSTITUIR:EIXOVIRABREQUIM CORRETIVA ***** R$- CANCELADONANEO VTRSERÁDESCARREGADA"
 MANUTENÇÃO-2025,277,GMT-0700,PNEU,"***** 4506 WED OCT 29 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) CA-17001 ??? 1.FORNECERESUBSTITUIR02PNEUSTRASEIROS7.50R16;
2.EXECUTARALINHAMENTODEDIREÇÃO;
3.EXECUTAR02BALANCEAMENTOSDERODAS; PREVENTIVA RPTRUCK R$4.807,75 FINALIZADONANEO "
 MANUTENÇÃO-2025,281,GMT-0800,EMBREAGEM,"***** 4562 TUE NOV 11 2025 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) UR-17211  1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA BFDIESEL  CANCELADONANEO "
 MANUTENÇÃO-2025,282,UR-17212,EMBREAGEM,"***** 4563  UR-17212  1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA CURIÓ R$12.686,69 CANCELADONANEO "
 MANUTENÇÃO-2025,296,GMT-0700,PNEU,"219 ***** TUE SEP 23 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) TP-17001 45481 TROCADOS04PNEUS,ALINHAMENTOE04BALANCEAMENTOS,EREVISÃODEFREIOS(PRÓXIMAINSPEÇÃODEFREIOSAOS50.500KM).OBS.:PNEUSFORNECIDOSPELAMOTOMEC PREVENTIVA GVPNEUS R$200,00 CONCLUÍDO "
 MANUTENÇÃO-2025,327,GMT-0800,EMBREAGEM,"***** 4906 TUE NOV 11 2025 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) UR-17211  1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA MULTISERVICE  FINALIZADONANEO "
 MANUTENÇÃO-2025,336,UR-17214,EMBREAGEM,"***** 4888 ***** UR-17214 ***** 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA ***** R$- CANCELADONANEO ERRONASOLICITAÇÃODESERVIÇOS."
 MANUTENÇÃO-2025,337,UR-17214,EMBREAGEM,"***** 4904 ***** UR-17214 ***** 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR,
6.FORNECERTRANPORTEPORGUINCHODOVEÍCULOATÉAOFICINAPARAAEXECUÇÃODOSERVIÇO. CORRETIVA ***** R$- CANCELADONANEO DEMORANOPREENCHIMENTODAORDEMDESERVIÇO.PORSETRATARDEVEÍCULODEEMERGÊNCIA,NÃOPODEMOSAGUARDARMUITOTEMPO."
 MANUTENÇÃO-2025,338,UR-17211,EMBREAGEM,"***** 4906 ??? UR-17211 ??? 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR;
6.FORNECERESUBSTITUIRCILINDROMESTRE;
7.FORNECERESUBSTITUIRFLUIDODEFREIO;
8.FORNECERESUBSTITUIRRETENTORDAPOLIADOMOTORDIANTEIRO. CORRETIVA MULTISERVICE R$12.475,77 FINALIZADONANEO "
 MANUTENÇÃO-2025,340,UR-17214,EMBREAGEM,"***** 4927 ??? UR-17214 ??? 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR,
6.FORNECERTRANPORTEPORGUINCHODOVEÍCULOATÉAOFICINAPARAAEXECUÇÃODOSERVIÇO. CORRETIVA MULTISERVICE R$16.050,32 FINALIZADONANEO "
 MANUTENÇÃO-2025,342,GMT-0800,PNEU, ***** WED NOV 26 2025 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) ABS-17103  REPARONOPNEUTRASEIROLDINTERNO CORRETIVA MVPNEUS  CONCLUÍDO 
 MANUTENÇÃO-2025,344,UR-17212,EMBREAGEM,"***** 4970  UR-17212  1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA   PENDENTENANEO "
 MANUTENÇÃO-2025,346,UR-17102,EMBREAGEM,"***** 4973 ***** UR-17102 ***** 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA ***** R$- CANCELADONANEO OSCANCELADA,POISESTÁEMDUPLICIDADECOMA4387"
MANUTENÇÃO-2024,2,AS-17101,PNEU,"***** 878 ***** AS-17101 ***** 1.FORNECERESUBSTITUIR04PNEUS,TRASEIROS,MEDIDAS7,50-16-116/114DEPRIMEIRALINHA,MARCAPIRELLIANTEO-59NYLON,04VÁLVULASSIMPLES,02PROLONGADORES,ECÂMARASEPROTETORES;
2.FORNECEREEXECUTARALINHAMENTOEBALANCEAMENTO. CORRETIVA ***** R$- CANCELADONANEO VEÍCULODISPONIBILIZADOPARAOUTRAUNIDADE."
MANUTENÇÃO-2024,5,GMT-0800,EMBREAGEM,"***** 1049 THU JAN 18 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) UR-17210 36295 1.FORNECERESUBSTITUIRPLATÔDEEMBREAGEMCONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRDISCODEEMBREAGEMCONFORMEESPECIFICAÇÃODOFABRICANTE;
3.FORNECERESUBSTITUIRVOLANTEDEEMBREAGEMCONFORMEESPECIFICAÇÃODOFABRICANTE;
4.FORNECERESUBSTITUIRROLAMENTODEEMBREAGEMCONFORMEESPECIFICAÇÃODOFABRICANTE.
5.FORNECERGUINCHOPARARETIRARAVIATURA. CORRETIVA CURIÓ R$8.093,80 FINALIZADONANEO "
MANUTENÇÃO-2024,6,VO-17205,PNEU,"***** 1123 ***** VO-17205 ***** 1.	FORNECERESUBSTITUIR,02(DOIS)PNEUSMARCAPIRELLIMODELOSCORPIONATR,205/60R15;
7.	FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. PREVENTIVA ***** R$- CANCELADONANEO SERVIÇOREALIZADOCOMRECURSOMUNICIPAL"
MANUTENÇÃO-2024,9,GMT-0800,EMBREAGEM,"87 1134 THU JAN 11 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) ABS-17103 138355 1.FORNECERESUBSTITUIRKITDEEMBREAGEM(PLATÔEDISCO)CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATUADORDEEMBREAGEMDOCAMBIOCONFORMEESPECIFICAÇÃODOFABRICANTE;
3.FORNECERESUBSTITUIRRETENTORDOVOLANTEDEMOTORCONFORMEESPECIFICAÇÃODOFABRICANTE;
4.RETIFICARVOLANTEDEMOTOR;
5.FORNECERESUBSTITUIRFLUÍDODOT4.
6.OBS:CONTEMPLAR""GUINCHO""PARATRANSPORTEDAVIATURAATÉAOFICINA,POISELAENCONTRA-SENARUAOLEGÁRIOPAIVA,33,CENTRO,MOGIDASCRUZES-SP(CORPODEBOMBEIROS). CORRETIVA INJETRONIC R$14.270,00 FINALIZADONANEO "
MANUTENÇÃO-2024,16,AB-17102,PNEU,"129 1179 ***** AB-17102 ***** 1.FORNECERESUBSTITUIR02PNEUSDIANTEIROSMARCAGOODYEAR315/80R22.5;
2.FORNECERESUBSTITUIRDUASVÁLVULASDEPNEUS(BICOS);
3.FORNECEREEXECUTARBALANCEAMENTODEDOISPNEUS;
4.FORNECEREEXECUTARALINHAMENTO. CORRETIVA ***** R$- CANCELADONANEO SERVIÇOSOLICITADORESOLVIDOCOMRECUSOMUNICIPAL"
MANUTENÇÃO-2024,17,GMT-0800,PNEU,129 ***** MON JAN 15 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) AB-17102 134300 MONTAGEMDOSPNEUSDIANTEIROS(OBS.:PNEUSFORNECIDOSPELOCSM/MOPB) CORRETIVA MAGRÃOBORRACHARIA ??? CONCLUÍDO 
MANUTENÇÃO-2024,35,VO-17008,EMBREAGEM,"***** 1276 ***** VO-17008 ***** 1.FORNECERESUBSTITUIRGRADEDIANTEIRACOMPLETACONFORMEMODELOEPINTURAEESPECIFICAÇÃOREGULAMENTARDOCORPODEBOMBEIROS;
2.FORNECERESUBSTITUIRRETROVISORL/DEL/ECOMPLETO,CONFORMEESPECIFICAÇÃODOMODELOEPINTURAEMCONFORMIDADEACORDOVEÍCULOREGULAMENTARDOCORPODEBOMBEIROS;
3.FORNECEREEXECUTARFUNILARIAEPINTURADACARROCERIAEASSOALHO,CABINE,CAÇAMBA,PARA-CHOQUEDIANTEIROETRASEIRO,CONFORMEESPECIFICAÇÃOREGULAMENTARDOCORPODEBOMBEIROS;
4.FORNECERESUBSTITUIRCANALETASDASPORTASDIANTEIRAEPORTASPASSAGEIROTRASEIRA;
5.FORNECEREEXECUTARAJUSTEEMANUTENÇÃODOSISTEMADETRAVAMENTODAPORTATRASEIRADACARROCERIA;
6.FORNECERESUBSTITUIRBRAÇOEPALHETASDOLIMPADORDEPARA-BRISA;
7.FORNECERESUBSTITUIRBORRACHASDEVEDAÇÃODAPORTAS;
8.FORNECERESUBSTITUIRFRISOSLATERAISEXTERNO;
9.FORNECERESUBSTITUIRPESTANASEXTERNASDOSVIDROSDASPORTASDIANTEIRAETRASEIRA;
10.FORNECERESUBSTITUIRSCOOPDECAPÔ,BEMCOMOEXECUTARPINTURAEMCONFORMIDADEACORDOVEÍCULOREGULAMENTARDOCORPODEBOMBEIROS;
11.FORNECEREEXECUTARPINTURADOSESTRIBOSLATERAIS,MATACACHORROESANTOANTONIONACORPRETACONFORMEPINTURAORIGINAL;
12.FORNECERESUBSTITUIRCAPAPEDALDOFREIO,EMBREAGEMEACELERADOR;
13.FORNECERESUBSTITUIRMOLDURADATAMPATRASEIRA;
14.FORNECERESUBSTITUIRNOPARA-CHOQUETASEIRO,ALMOFADAPISANTE,POLAINA. CORRETIVA ***** R$- CANCELADONANEO VIATURASERÁDESCARREGADA"
MANUTENÇÃO-2024,37,UR-17211,PNEU,"150 1278 ??? UR-17211 ??? 1.FORNECERESUBSTITUIR,04(QUATRO)PNEUSDEPRIMEIRALINHAMARCAFIRESTONECV5000-225/75R16-121/120R;
2.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. CORRETIVA BHB R$6.432,00 FINALIZADONANEO "
MANUTENÇÃO-2024,56,GMT-0700,PNEU,"156 1334 TUE APR 23 2024 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) UR-17212 ??? 1.FORNECERESUBSTITUIR,04(QUATRO)PNEUSDEPRIMEIRALINHAMARCAFIRESTONECV5000-225/75R16-121/120R;
2.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. CORRETIVA BHB R$6.946,67 FINALIZADONANEO "
MANUTENÇÃO-2024,58,GMT-0800,PNEU,"***** 1361 TUE FEB 27 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) TP-17004 268465 1.FORNECERESUBSTITUIRDOISPNEUSDIANTEIROS,MEDIDA195/6515DEPRIMEIRALINHA,MARCAGOODYEAR.
2.REALIZARALINHAMENTOEBALANCEAMENTO; PREVENTIVA BHB R$1.576,67 FINALIZADONANEO "
MANUTENÇÃO-2024,59,GMT-0800,EMBREAGEM,"***** 1383 WED FEB 14 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) TP-17205 207460 1.FORNECERESUBSTITUIR,QUITEDEEMBREAGEM;
2.REALIZARREPARODEESCAPAMENTO. CORRETIVA NAVARRO R$3.160,67 FINALIZADONANEO "
MANUTENÇÃO-2024,61,GMT-0800,PNEU,"176 ***** WED FEB 14 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) VO-17100 10283 VULCANIZAÇÃOPNEUTRASEIROLE CORRETIVA BORRACHARIAROTADOSOL R$70,00 CONCLUÍDO "
MANUTENÇÃO-2024,67,GMT-0800,PNEU,"***** 1411 MON FEB 26 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) ABS-17106 39240 1.SUBSTITUIR01PNEUDIANTEIRO;
2.FORNECERESUBSTITUIR01VÁLVULA(BICO)DEENCHIMENTODEPNEU. PREVENTIVA ALBUQUERQUE R$120,00 FINALIZADONANEO "
MANUTENÇÃO-2024,69,AB-17201,PNEU,"***** 1416 ***** AB-17201 ***** 1.FORNECERESUBSTITUIR,02PNEUSDIANTEIROS275/80R22,5-149/146LDEPRIMEIRALINHA,DEMARCAPIRELLIE02VÁLVULASSIMPLES;
2.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. CORRETIVA ***** R$- CANCELADONANEO VEÍCULOSERÁDEVOLVIDOAOMUNICÍPIO."
MANUTENÇÃO-2024,71,GMT-0700,PNEU,"132 1421 THU MAR 14 2024 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) ABS-17105 50628 1.SUBSTITUIR02PNEUDIANTEIRO.OSPNEUSPARASUBSTITUIÇÃOSERÃOFORNECIDOSPELO17ºGB,NECESSITANDOSOMENTEDAMONTAGEM;
2.FORNECERESUBSTITUIR02VÁLVULAS(BICO)DEENCHIMENTODEPNEU. PREVENTIVA ALBUQUERQUE R$233,33 FINALIZADONANEO "
MANUTENÇÃO-2024,77,GMT-0700,EMBREAGEM,"168 1457 TUE APR 02 2024 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) UR-17212 50197 1.FORNECERESUBSTITUIRPOLIADAMPERCONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRCORREIADOMOTORCONFORMEESPECIFICAÇÃODOFABRICANTE;
3.FORNECERESUBSTITUIRTENSIONADORCONFORMEESPECIFICAÇÃODOFABRICANTE;
4.FORNECERESUBSTITUIRROLAMENTODEEMBREAGEMCONFORMEESPECIFICAÇÃODOFABRICANTE.
5.FORNECERTRANSPORTEDOVEICULO(GUINCHO)QUEESTANOCORPODEBOMBEIROSDEITAQUAQUECETUBA,R.ALIHAMOUD,162-JARDIMALPESDEITAQUA,ITAQUAQUECETUBA-SP,08588-630,ATÉAOFICINABFDIESELSITOÀAV.PREF.CARLOSFERREIRALOPES,383-VILAMOGILAR,MOGIDASCRUZES-SP,08773-490; CORRETIVA NAVARRO R$5.075,30 FINALIZADONANEO "
MANUTENÇÃO-2024,85,GMT-0800,PNEU,"***** 1479 WED FEB 21 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) ABS-17102 163764 EXECUTARMONTAGEMDE02PNEUSDIANTEIRO.(OBS.:PNEUS""MEIAVIDA""FORNECIDOSPELAMOTOMEC) CORRETIVA BHB R$4,00 FINALIZADONANEO "
MANUTENÇÃO-2024,90,GMT-0800,EMBREAGEM,"200 ***** THU MAR 07 2024 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) TP-17004 268550 TROCADOBUJÃODOCÁRTER;TROCADACOIFADOCÂMBIO;TROCADORETENTORDOVIRABREQUIM;TROCADOÓLEODECÂMBIO;DESCARBONIZANTES;TROCADOKITDEEMBREAGEM;TROCADAJUNTADOCÁRTER;01LITRODEÓLEODEMOTOR. CORRETIVA ERGERAUTO(ERNANI) R$2.502,00 CONCLUÍDO "
MANUTENÇÃO-2024,91,AC-17001,PNEU,"203 1545 ***** AC-17001 ***** 1.FORNECERESUBSTITUIR02DOISPNEUSPIRELLIALLTERRAINPLUSSCORPION265/65R17;
2.FORNECERESUBSTITUIR02BICOSDEPNEUS(VÁLVULAS);
3.FORNECEREEXECUTA02DOISBALANCEAMENTOSDEPNEUS;
4.FORNECEREEXECUTARALINHAMENTO. PREVENTIVA ***** R$- CANCELADONANEO SERVIÇOEXECUTADOCOMRECURSOMUNICIPAL."
MANUTENÇÃO-2024,95,GMT-0700,PNEU,"211 ***** WED MAR 27 2024 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) VO-17104 47800 TROCADE02PNEUS,ALINHAMENTOEBALANCEAMENTO CORRETIVA ÁPICEMOGI R$1.700,00 CONCLUÍDO "
MANUTENÇÃO-2024,115,UT-17001,PNEU,"***** 1637 ***** UT-17001 ***** 1.FORNECERESUBSTITUIR04PNEUS,175/70R14DEPRIMEIRALINHA,MARCAPIRELLI,EBICOS;
2.FORNECEREEXECUTARALINHAMENTOEBALANCEAMENTO;
3.FORNECEREEXECUTARPINTURAGERAL,INCLUINDOCAPOTARÍGIDANACORPADRÃOCORPODEBOMBEIROS;
4.FORNECERESUBSTITUIR,02(DOIS)FAROLCOMPLETO;
5.FORNECERESUBSTITUIRBATERIAPRIMEIRALINHAMARCAMOURA52AH;
6.FORNECERESUBSTITUIRTROCADEÓLEODEMOTOR;
7.FORNECERESUBSTITUIRFILTROSDEÓLEOEDEMOTOR;
8.FORNECERESUBSTITUIRLIMPEZAGERALNOSISTEMADEARREFECIMENTO;
9.FORNECEREEXECUTARRETÍFICACOMPLETADOMOTOR. CORRETIVA ***** R$- CANCELADONANEO VIATURASERÁDESCARREGADA."
MANUTENÇÃO-2024,116,GMT-0700,PNEU,"203 ***** MON APR 08 2024 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) AC-17001 40190 TROCADOSPNEUSTRASEIROS(265/65R17-WRANGLERWORKHORSEAT112HSL);TROCADOSBICOSDEPNEUTRASEIRO;BALANCEAMENTODERODAS. PREVENTIVA ÁPICEMOGI R$2.430,00 CONCLUÍDO "
MANUTENÇÃO-2024,128,GMT-0700,PNEU,"223 ***** WED MAY 01 2024 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) AB-17102 139000 DESMONTAGEMEMONTAGEMDOS04PNEUSTRASEIROS CORRETIVA RE9 R$160,00 CONCLUÍDO "
MANUTENÇÃO-2024,141,VO-17008,EMBREAGEM,"***** 1857 ***** VO-17008 ***** 1.FORNECERESUBSTITUIR,RETIFICACOMPLETADEMOTOREPEÇAS.
2.FORNECERESUBSTITUIRGRADEDIANTEIRACOMPLETACONFORMEMODELOEPINTURAEESPECIFICAÇÃOREGULAMENTARDOCORPODEBOMBEIROS;
3.FORNECERESUBSTITUIRRETROVISORL/DEL/ECOMPLETO,CONFORMEESPECIFICAÇÃODOMODELOEPINTURAEMCONFORMIDADEACORDOVEÍCULOREGULAMENTARDOCORPODEBOMBEIROS;
4.FORNECEREEXECUTARFUNILARIAEPINTURADACARROCERIAEASSOALHO,CABINE,CAÇAMBA,PARA-CHOQUEDIANTEIROETRASEIRO,CONFORMEESPECIFICAÇÃOREGULAMENTARDOCORPODEBOMBEIROS;
5.FORNECERESUBSTITUIRCANALETASDASPORTASDIANTEIRAEPORTASPASSAGEIROTRASEIRA;
6.FORNECEREEXECUTARAJUSTEEMANUTENÇÃODOSISTEMADETRAVAMENTODAPORTATRASEIRADACARROCERIA;
7.FORNECERESUBSTITUIRBRAÇOEPALHETASDOLIMPADORDEPARA-BRISA;
8.FORNECERESUBSTITUIRBORRACHASDEVEDAÇÃODAPORTAS;
9.FORNECERESUBSTITUIRFRISOSLATERAISEXTERNO;
10.FORNECERESUBSTITUIRPESTANASEXTERNASDOSVIDROSDASPORTASDIANTEIRAETRASEIRA;
11.FORNECERESUBSTITUIRSCOOPDECAPÔ,BEMCOMOEXECUTARPINTURAEMCONFORMIDADEACORDOVEÍCULOREGULAMENTARDOCORPODEBOMBEIROS;
12.FORNECEREEXECUTARPINTURADOSESTRIBOSLATERAIS,MATACACHORROESANTOANTONIONACORPRETACONFORMEPINTURAORIGINAL;
13.FORNECERESUBSTITUIRCAPAPEDALDOFREIO,EMBREAGEMEACELERADOR;
14.FORNECERESUBSTITUIRMOLDURADATAMPATRASEIRA;
15.FORNECERESUBSTITUIRNOPARA-CHOQUETASEIRO,ALMOFADAPISANTE,POLAINA. CORRETIVA ***** R$- CANCELADONANEO O.SCANCELADADEVIDOSERACORDADONAREUNIÃODODIA05/04/2024JUNTAMENTECOMOTENENTEBRAMBILLAESARGENTOBARRETOQUEASO.SNAABAAGUARDANDOENVIODOVEICULOTERÁVIDAÚTILDE07DIASCORRIDO"
MANUTENÇÃO-2024,143,AB-17201,EMBREAGEM,233 1866 ***** AB-17201 ***** PLATOEMBREAGEM;DISCOEMBREAGEM;RETENTORDOVOLANTE;RETIFICAVOLANTEDOMOTOR;ROLAMENTOEMBREAGEMCOLAR;FRASCODE500MLFLUIDODOT4EMBREAGEM CORRETIVA ***** R$- CANCELADONANEO VIATURASERÁDEVOLVIDAAOMUNICÍPIO.
